종목코드,종목명,종가,대비,등락률,상장시가총액
"196170","알테오젠","276500","3500","1.28","1.4816624E7"
"247540","에코프로비엠","111600","5700","5.38","1.0917876E7"
"086520","에코프로","80400","5200","6.91","1.0916403E7"
"277810","레인보우로보틱스","504000","92500","22.48","9777528.0"
"036930","주성엔지니어링","167800","-1400","-0.83","7799532.0"
"240810","원익IPS","117300","1200","1.03","5757542.0"
"058470","리노공업","74700","4700","6.71","5693025.0"
"319660","피에스케이","162900","-7100","-4.18","4718678.0"
"298380","에이비엘바이오","71000","1700","2.45","3975110.0"
"028300","HLB","29750","-650","-2.14","3962647.0"
"039030","이오테크닉스","319000","1500","0.47","3929936.0"
"222800","심텍","102000","1100","1.09","3821321.0"
"000250","삼천당제약","162700","-5100","-3.04","3816531.0"
"141080","리가켐바이오","97200","3600","3.85","3598287.0"
"214450","파마리서치","335000","-6500","-1.90","3480532.0"
"108490","로보티즈","231250","34250","17.39","3390363.0"
"403870","HPSP","40100","1000","2.56","3300230.0"
"095610","테스","165000","-700","-0.42","3194400.0"
"214370","케어젠","57600","1100","1.95","3093984.0"
"095340","ISC","145300","6100","4.38","3079933.0"
"214150","클래시스","44150","400","0.91","2880154.0"
"084370","유진테크","123400","-2400","-1.91","2827840.0"
"131290","티에스이","251500","500","0.20","2781949.0"
"347850","디앤디파마텍","60800","-200","-0.33","2786927.0"
"145020","휴젤","226000","-2500","-1.09","2780711.0"
"031980","피에스케이홀딩스","127600","-7400","-5.48","2751362.0"
"080220","제주반도체","79600","1300","1.66","2741650.0"
"067310","하나마이크론","37200","200","0.54","2473460.0"
"087010","펩트론","106500","200","0.19","2483298.0"
"237690","에스티팜","115900","1900","1.67","2419510.0"
"178320","서진시스템","37900","1700","4.70","2412363.0"
"257720","실리콘투","36100","450","1.26","2367303.0"
"310210","보로노이","129200","3000","2.38","2379987.0"
"064760","티씨케이","209000","-500","-0.24","2336498.0"
"319400","현대무벡스","20550","1650","8.73","2288778.0"
"089970","브이엠","85500","-3800","-4.26","2250938.0"
"005290","동진쎄미켐","44200","2050","4.86","2252880.0"
"226950","올릭스","107000","-2200","-2.01","2246196.0"
"357780","솔브레인","286000","6000","2.14","2224670.0"
"263750","펄어비스","33750","400","1.20","2120982.0"
"058610","에스피지","85500","19500","29.55","1896164.0"
"098460","고영","27700","2100","8.20","1889257.0"
"032820","우리기술","10400","910","9.59","1784694.0"
"420770","기가비스","139900","-2700","-1.89","1773339.0"
"140860","파크시스템스","253000","6500","2.64","1771625.0"
"089030","테크윙","48100","1300","2.78","1782280.0"
"068760","셀트리온제약","39000","750","1.96","1731691.0"
"290650","엘앤씨바이오","61600","-5200","-7.78","1661334.0"
"131970","두산테스나","83000","1100","1.34","1604161.0"
"060370","LS마린솔루션","30150","2600","9.44","1575001.0"
"035900","JYP Ent.","44450","100","0.23","1579419.0"
"041510","에스엠","68600","1500","2.24","1570576.0"
"007390","네이처셀","23800","-950","-3.84","1533554.0"
"096530","씨젠","27700","500","1.84","1446660.0"
"030530","원익홀딩스","18030","1800","11.09","1392601.0"
"183300","코미코","68800","-400","-0.58","1413517.0"
"082920","비츠로셀","30200","1200","4.14","1369252.0"
"083650","비에이치아이","44600","4050","9.99","1380119.0"
"043260","성호전자","19050","2050","12.06","1363146.0"
"0009K0","에임드바이오","20200","740","3.80","1306357.0"
"218410","RFHIC","46800","3250","7.46","1242701.0"
"078600","대주전자재료","76100","3800","5.26","1195085.0"
"039200","오스코텍","30050","-100","-0.33","1149658.0"
"437730","삼현","35900","7800","27.76","1138302.0"
"166090","하나머티리얼즈","55900","2600","4.88","1105572.0"
"195940","HK이노엔","38150","350","0.93","1080785.0"
"003380","하림지주","9680","190","2.00","1084214.0"
"323280","태성","33100","900","2.80","1010807.0"
"475830","오름테라퓨틱","44200","2300","5.49","960006.0"
"036540","SFA반도체","5680","140","2.53","934135.0"
"090710","휴림로봇","7330","1040","16.53","876368.0"
"101490","에스앤에스텍","41200","850","2.11","878997.0"
"099320","쎄트렉아이","80200","6000","8.09","878292.0"
"204270","제이앤티씨","14710","1230","9.12","850951.0"
"038500","삼표시멘트","7660","440","6.09","826639.0"
"085660","차바이오텍","8860","170","1.96","823739.0"
"241710","코스메카코리아","78100","-2900","-3.58","834108.0"
"293490","카카오게임즈","7670","80","1.05","822571.0"
"232140","와이씨","9800","170","1.77","804044.0"
"281740","레이크머티리얼즈","11910","740","6.62","782851.0"
"417200","LS머트리얼즈","11550","770","7.14","781388.0"
"388720","유일로보틱스","66100","6500","10.91","778747.0"
"065350","신성델타테크","27050","900","3.44","743441.0"
"213420","덕산네오룩스","29850","-150","-0.50","741211.0"
"100790","미래에셋벤처투자","14130","800","6.00","750594.0"
"074600","원익QnC","28300","800","2.91","743950.0"
"033100","제룡전기","45000","2350","5.51","722808.0"
"122870","와이지엔터테인먼트","38700","350","0.91","723344.0"
"056190","SFA","20500","530","2.65","736130.0"
"032190","다우데이타","18600","1000","5.68","712380.0"
"328130","루닛","9510","260","2.81","708097.0"
"137400","피엔티","29100","1150","4.11","689400.0"
"014620","성광벤드","25050","1000","4.16","665262.0"
"189300","인텔리안테크","62300","3200","5.41","668946.0"
"090360","로보스타","69300","10400","17.66","675675.0"
"032500","케이엠더블유","15150","1000","7.07","639204.0"
"035760","CJ ENM","29950","1050","3.63","656778.0"
"466100","클로봇","26000","2750","11.83","661940.0"
"161580","필옵틱스","27250","1100","4.21","638801.0"
"036830","솔브레인홀딩스","31800","1650","5.47","652027.0"
"445680","큐리옥스바이오시스템즈","36700","2100","6.07","631359.0"
"006730","서부T&D","9930","440","4.64","638270.0"
"048410","현대바이오","6180","170","2.83","596404.0"
"253450","스튜디오드래곤","20200","490","2.49","607182.0"
"053800","안랩","53900","1100","2.08","599719.0"
"050890","쏠리드","9480","490","5.45","575972.0"
"222080","SFA넥셀","7300","430","6.26","567795.0"
"052400","코나아이","40300","100","0.25","586901.0"
"067160","SOOP","46900","1250","2.74","539105.0"
"225570","넥슨게임즈","8210","80","0.98","540712.0"
"171090","선익시스템","55500","3700","7.14","560696.0"
"112040","위메이드","15640","250","1.62","530954.0"
"399720","가온칩스","45200","0","0.00","536020.0"
"121600","나노신소재","42100","1800","4.47","516238.0"
"056080","유진로봇","12880","1000","8.42","492473.0"
"295310","에이치브이엠","41400","2700","6.98","498728.0"
"060250","NHN KCP","12300","700","6.03","493976.0"
"015750","성우하이텍","5860","270","4.83","468800.0"
"033500","동성화인텍","16090","640","4.14","482531.0"
"124500","아이티센글로벌","20900","1550","8.01","484975.0"
"376300","디어유","19640","540","2.83","466222.0"
"251970","펌텍코리아","38850","-650","-1.65","481740.0"
"358570","지아이이노베이션","7340","470","6.84","473547.0"
"211050","인카금융서비스","9730","-200","-2.01","479335.0"
"009520","포스코엠텍","10590","380","3.72","440996.0"
"082270","젬백스","10050","300","3.08","444905.0"
"036810","에프에스티","20750","400","1.97","449233.0"
"214430","아이쓰리시스템","58700","3000","5.39","428934.0"
"348370","엔켐","18940","-830","-4.20","414994.0"
"272290","이녹스첨단소재","20750","650","3.23","413703.0"
"253590","네오셈","9700","410","4.41","425531.0"
"018290","브이티","11340","150","1.34","396240.0"
"278280","천보","33000","1000","3.13","404350.0"
"215200","메가스터디교육","38700","1000","2.65","401134.0"
"030520","한글과컴퓨터","16210","400","2.53","391954.0"
"041190","우리기술투자","4520","155","3.55","379680.0"
"042000","카페24","16030","420","2.69","387576.0"
"348210","넥스틴","35850","700","1.99","375601.0"
"095660","네오위즈","17390","240","1.40","376258.0"
"069080","웹젠","12130","120","1.00","375625.0"
"025980","아난티","3695","10","0.27","359527.0"
"060280","큐렉소","8230","420","5.38","339568.0"
"036620","감성코퍼레이션","3805","-30","-0.78","341929.0"
"025320","시노펙스","3535","-20","-0.56","325794.0"
"078340","컴투스","25000","500","2.04","302283.0"
"125490","한라캐스트","8220","810","10.93","300049.0"
"101730","위메이드맥스","3715","-140","-3.63","311329.0"
"025900","동화기업","5670","210","3.85","286660.0"
"352480","씨앤씨인터내셔널","18460","0","0.00","251608.0"
"194480","데브시스터즈","16330","710","4.55","198069.0"
