종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","259250","15250","6.25","1.515647729E9"
"000660","SK하이닉스","1845000","81000","4.59","1.314935863E9"
"402340","SK스퀘어","1236000","59000","5.01","1.63100565E8"
"009150","삼성전기","1307000","32000","2.51","9.7624661E7"
"005380","현대차","399000","0","0.00","8.1698349E7"
"373220","LG에너지솔루션","317000","-500","-0.16","7.4178E7"
"207940","삼성바이오로직스","1402000","57000","4.24","6.4899913E7"
"032830","삼성생명","312500","11000","3.65","6.25E7"
"105560","KB금융","173700","4900","2.90","6.1609259E7"
"000270","기아","143800","3800","2.71","5.6141389E7"
"028260","삼성물산","342000","24500","7.72","5.5461313E7"
"055550","신한지주","104900","3100","3.05","4.9791242E7"
"329180","HD현대중공업","451000","2500","0.56","4.7337512E7"
"012450","한화에어로스페이스","897000","22000","2.51","4.6252371E7"
"012330","현대모비스","476500","4000","0.85","4.3234076E7"
"034730","SK","595000","16000","2.76","4.3139108E7"
"034020","두산에너빌리티","66500","1700","2.62","4.2597316E7"
"068270","셀트리온","172400","-200","-0.12","4.0092259E7"
"086790","하나금융지주","133300","-100","-0.07","3.6573221E7"
"006400","삼성SDI","415000","14000","3.49","3.3442995E7"
"035420","NAVER","194300","8400","4.52","3.0494266E7"
"010120","LS ELECTRIC","189900","10600","5.91","2.8485E7"
"066570","LG전자","172700","5500","3.29","2.8130177E7"
"000810","삼성화재","620000","18000","2.99","2.7681433E7"
"267260","HD현대일렉트릭","775000","23000","3.06","2.793653E7"
"042660","한화오션","81700","-1500","-1.80","2.5033974E7"
"009540","HD한국조선해양","340500","500","0.15","2.4098246E7"
"298040","효성중공업","2585000","46000","1.81","2.4103957E7"
"005490","POSCO홀딩스","301500","-1000","-0.33","2.389132E7"
"316140","우리금융지주","30550","0","0.00","2.224314E7"
"015760","한국전력","33850","850","2.58","2.1730484E7"
"042700","한미반도체","224000","2000","0.90","2.1349933E7"
"006800","미래에셋증권","37150","100","0.27","2.078791E7"
"010130","고려아연","953000","-3000","-0.31","1.9891939E7"
"096770","SK이노베이션","116500","-400","-0.34","1.969465E7"
"011200","HMM","20100","-50","-0.25","1.8959083E7"
"138040","메리츠금융지주","113300","300","0.27","1.8960446E7"
"010140","삼성중공업","21200","250","1.19","1.8656E7"
"033780","KT&G","178400","-1000","-0.56","1.8519785E7"
"017670","SK텔레콤","85200","500","0.59","1.8300113E7"
"000150","두산","1118000","-1000","-0.09","1.8104708E7"
"051910","LG화학","251000","-2000","-0.79","1.7718678E7"
"064350","현대로템","153100","5900","4.01","1.6709685E7"
"024110","기업은행","20600","-600","-2.83","1.6426973E7"
"010950","S-Oil","142400","-4300","-2.93","1.603179E7"
"035720","카카오","35450","400","1.14","1.5703679E7"
"267250","HD현대","197500","-100","-0.05","1.5601134E7"
"011070","LG이노텍","624000","22000","3.65","1.4768275E7"
"079550","LIG디펜스앤에어로스페이스","676000","-19000","-2.73","1.4872E7"
"086280","현대글로비스","190700","4200","2.25","1.43025E7"
"018260","삼성에스디에스","189900","4100","2.21","1.4694044E7"
"003550","LG","96800","1800","1.89","1.4635386E7"
"047810","한국항공우주","143200","-700","-0.49","1.3958435E7"
"030200","KT","52800","-700","-1.31","1.3306745E7"
"278470","에이피알","365000","-3000","-0.82","1.3664927E7"
"003670","포스코퓨처엠","138300","1500","1.10","1.2301262E7"
"071050","한국금융지주","219000","2500","1.15","1.2203992E7"
"272210","한화시스템","61000","-100","-0.16","1.1524083E7"
"259960","크래프톤","235000","12500","5.62","1.0842391E7"
"005940","NH투자증권","29800","300","1.02","1.1002342E7"
"005830","DB손해보험","162200","3200","2.01","1.0624157E7"
"307950","현대오토에버","376000","4500","1.21","1.0311417E7"
"000720","현대건설","93900","2900","3.19","1.0456306E7"
"323410","카카오뱅크","22000","-550","-2.44","1.049665E7"
"047050","포스코인터내셔널","52700","2100","4.15","9271131.0"
"016360","삼성증권","103000","1300","1.28","9197900.0"
"0126Z0","삼성에피스홀딩스","377000","4500","1.21","9380909.0"
"003490","대한항공","25450","100","0.39","9371216.0"
"352820","하이브","199500","-3500","-1.72","8598899.0"
"006260","LS","273000","7500","2.82","8517600.0"
